Sales Person,Geography,Product,Date,Sales,Boxes
Marney O'Breen,Canada ,Manuka Honey Choco,6/4/2023,"$12,971 ",129
Marney O'Breen,USA  ,Manuka Honey Choco,6/4/2023,"$4,691 ",98
Van Tuxwell,Australia,Eclairs,6/4/2023,"$4,847 ",474
Rafaelita Blaksland,USA ,70% Dark Bites,6/4/2023,"$4,991 ",251
Andria Kimpton,India ,Raspberry Choco,6/4/2023,"$6,386 ",1411
Camilla Castle,Canada,Caramel Stuffed Bars,6/4/2023,"$3,501 ",105
Husein Augar,India,Peanut Butter Cubes,6/4/2023,"$8,399 ",54
Marney O'Breen,Canada   ,Raspberry Choco,6/4/2023,"$3,814 ",290
Karlen McCaffrey,Canada ,Mint Chip Choco,7/4/2023,"$9,083 ",113
Barr Faughny,New Zealand,After Nines,7/4/2023,"$5,850 ",402
Beverie Moffet,New Zealand  ,Baker's Choco Chips,7/4/2023,"$5,353 ",487
Dennison Crosswaite,New Zealand,Orange Choco,7/4/2023,"$23,040 ",112
Gigi Bohling,New Zealand   ,Eclairs,7/4/2023,"$5,283 ",251
Oby Sorrel,India  ,Smooth Silky Salty,7/4/2023,"$4,628 ",236
Van Tuxwell,USA  ,After Nines,7/4/2023,"$11,266 ",236
Karlen McCaffrey,USA   ,Caramel Stuffed Bars,7/4/2023,"$13,210 ",528
Dennison Crosswaite,USA   ,Raspberry Choco,7/4/2023,"$6,575 ",189
Kelci Walkden,Canada  ,Fruit & Nut Bars,7/4/2023,"$2,574 ",354
Kaine Padly,USA,70% Dark Bites,7/4/2023,"$8,735 ",194
Jehu Rudeforth,Australia   ,Milk Bars,7/4/2023,"$3,794 ",201
Jehu Rudeforth,Canada,85% Dark Bars,7/4/2023,"$4,790 ",142
Roddy Speechley,Canada   ,Raspberry Choco,7/4/2023,"$12,553 ",340
Dennison Crosswaite,UK  ,Organic Choco Syrup,7/4/2023,"$8,224 ",255
Beverie Moffet,Australia ,Peanut Butter Cubes,7/4/2023,"$7,279 ",95
Oby Sorrel,New Zealand   ,Almond Choco,7/4/2023,"$3,839 ",164
Van Tuxwell,Australia  ,50% Dark Bites,7/4/2023,"$1,024 ",75
Camilla Castle,New Zealand,70% Dark Bites,7/4/2023,"$6,845 ",123
Oby Sorrel,USA   ,Smooth Silky Salty,7/4/2023,"$6,086 ",625
Jehu Rudeforth,USA,Choco Coated Almonds,10/4/2023,"$1,418 ",182
Andria Kimpton,New Zealand  ,70% Dark Bites,10/4/2023,"$7,648 ",157
Karlen McCaffrey,India ,Almond Choco,10/4/2023,"$5,531 ",97
Kelci Walkden,India ,Raspberry Choco,10/4/2023,"$3,888 ",917
Kelci Walkden,New Zealand ,Peanut Butter Cubes,10/4/2023,"$8,424 ",453
Roddy Speechley,Canada,Choco Coated Almonds,10/4/2023,$392 ,324
Husein Augar,USA ,After Nines,10/4/2023,"$13,129 ",24
Gunar Cockshoot,Canada ,After Nines,10/4/2023,"$11,558 ",87
Marney O'Breen,New Zealand,Almond Choco,10/4/2023,"$9,173 ",47
Dennison Crosswaite,Australia,Choco Coated Almonds,10/4/2023,"$2,129 ",25
Barr Faughny,India,Drinking Coco,10/4/2023,"$5,200 ",34
Andria Kimpton,India   ,Almond Choco,10/4/2023,"$2,131 ",435
Beverie Moffet,India,Raspberry Choco,10/4/2023,"$2,241 ",1386
Husein Augar,USA   ,Manuka Honey Choco,10/4/2023,"$17,577 ",1
Gunar Cockshoot,India ,Raspberry Choco,10/4/2023,"$2,871 ",593
Kelci Walkden,Canada   ,Eclairs,10/4/2023,"$3,330 ",241
Jan Morforth,UK ,Mint Chip Choco,10/4/2023,"$7,360 ",570
Barr Faughny,New Zealand,Fruit & Nut Bars,10/4/2023,"$14,634 ",399
Gigi Bohling,USA  ,After Nines,10/4/2023,"$9,887 ",58
Curtice Advani,USA ,Milk Bars,10/4/2023,"$3,022 ",139
Barr Faughny,New Zealand ,White Choc,10/4/2023,"$3,146 ",127
Brien Boise,USA  ,50% Dark Bites,10/4/2023,$151 ,126
Wilone O'Kielt,USA   ,Raspberry Choco,10/4/2023,"$3,011 ",273
Brien Boise,Australia  ,Orange Choco,10/4/2023,"$3,440 ",514
Karlen McCaffrey,India  ,Raspberry Choco,10/4/2023,"$6,764 ",1040
Jehu Rudeforth,Australia,After Nines,10/4/2023,"$6,851 ",2
Dennison Crosswaite,USA ,Organic Choco Syrup,10/4/2023,"$10,877 ",337
Kaine Padly,India   ,White Choc,10/4/2023,"$5,362 ",312
Wilone O'Kielt,India,Smooth Silky Salty,10/4/2023,"$8,051 ",323
Gigi Bohling,Australia  ,Mint Chip Choco,11/4/2023,$257 ,51
Gunar Cockshoot,India   ,Baker's Choco Chips,11/4/2023,"$5,371 ",203
Ches Bonnell,New Zealand ,Milk Bars,11/4/2023,"$4,111 ",380
Jehu Rudeforth,UK ,Raspberry Choco,11/4/2023,$176 ,808
Roddy Speechley,India ,Mint Chip Choco,11/4/2023,"$9,250 ",175
Husein Augar,UK  ,Orange Choco,11/4/2023,"$8,843 ",38
Oby Sorrel,USA   ,Organic Choco Syrup,11/4/2023,"$18,866 ",203
Beverie Moffet,Australia   ,Baker's Choco Chips,11/4/2023,"$1,771 ",157
Oby Sorrel,UK  ,Spicy Special Slims,11/4/2023,"$2,624 ",175
Gunar Cockshoot,UK,Fruit & Nut Bars,11/4/2023,"$4,466 ",17
Curtice Advani,USA,Mint Chip Choco,11/4/2023,"$1,157 ",294
Curtice Advani,Canada  ,After Nines,11/4/2023,"$11,151 ",269
Van Tuxwell,USA  ,Drinking Coco,11/4/2023,"$7,218 ",105
Camilla Castle,UK  ,Caramel Stuffed Bars,11/4/2023,"$8,123 ",104
Marney O'Breen,Australia ,50% Dark Bites,11/4/2023,"$2,005 ",180
Kaine Padly,New Zealand  ,Manuka Honey Choco,11/4/2023,"$1,679 ",1
Jan Morforth,India ,Peanut Butter Cubes,11/4/2023,"$9,956 ",487
Jehu Rudeforth,Australia,85% Dark Bars,11/4/2023,"$9,950 ",297
Dennison Crosswaite,New Zealand ,50% Dark Bites,11/4/2023,"$3,897 ",28
Barr Faughny,New Zealand,50% Dark Bites,11/4/2023,"$5,920 ",380
Marney O'Breen,Australia  ,Spicy Special Slims,12/4/2023,"$3,967 ",20
Roddy Speechley,UK   ,Orange Choco,12/4/2023,"$15,633 ",106
Roddy Speechley,Canada,Caramel Stuffed Bars,12/4/2023,"$4,280 ",354
Beverie Moffet,Canada ,Drinking Coco,12/4/2023,"$4,626 ",687
Karlen McCaffrey,Australia,After Nines,12/4/2023,"$13,637 ",27
Dotty Strutley,India   ,Choco Coated Almonds,12/4/2023,"$5,045 ",923
Van Tuxwell,USA   ,Milk Bars,12/4/2023,"$2,432 ",215
Van Tuxwell,Australia   ,Smooth Silky Salty,12/4/2023,"$17,861 ",71
Rafaelita Blaksland,New Zealand ,Organic Choco Syrup,12/4/2023,"$15,946 ",293
Camilla Castle,New Zealand,Baker's Choco Chips,12/4/2023,"$1,629 ",106
Madelene Upcott,India,Milk Bars,12/4/2023,"$1,658 ",15
Karlen McCaffrey,UK,Milk Bars,12/4/2023,"$2,108 ",7
Jan Morforth,USA ,50% Dark Bites,12/4/2023,"$4,763 ",326
Kelci Walkden,India ,85% Dark Bars,13/4/2023,"$6,791 ",490
Gigi Bohling,Canada,After Nines,13/4/2023,"$10,073 ",187
Jehu Rudeforth,USA  ,50% Dark Bites,13/4/2023,"$5,114 ",1744
Ches Bonnell,USA   ,Organic Choco Syrup,13/4/2023,"$2,556 ",673
Brien Boise,UK ,Caramel Stuffed Bars,13/4/2023,"$8,764 ",322
Brien Boise,Canada   ,White Choc,13/4/2023,$272 ,159
Andria Kimpton,USA  ,Manuka Honey Choco,13/4/2023,"$3,143 ",207
Kelci Walkden,USA,Caramel Stuffed Bars,13/4/2023,"$6,390 ",100
Mallorie Waber,Australia  ,White Choc,13/4/2023,"$6,541 ",95
Brien Boise,Canada   ,99% Dark & Pure,13/4/2023,"$3,962 ",163
Van Tuxwell,Canada  ,Peanut Butter Cubes,13/4/2023,"$5,753 ",269
Camilla Castle,New Zealand  ,Peanut Butter Cubes,13/4/2023,"$4,919 ",670
Gunar Cockshoot,Australia  ,50% Dark Bites,13/4/2023,"$1,125 ",952
Dennison Crosswaite,India   ,Spicy Special Slims,13/4/2023,$680 ,27
Brien Boise,New Zealand,70% Dark Bites,13/4/2023,"$1,442 ",184
Mallorie Waber,New Zealand  ,50% Dark Bites,13/4/2023,"$3,175 ",454
Kaine Padly,UK  ,Organic Choco Syrup,13/4/2023,"$10,919 ",100
Rafaelita Blaksland,UK,Peanut Butter Cubes,13/4/2023,"$7,475 ",706
Gigi Bohling,India,Manuka Honey Choco,13/4/2023,$227 ,5
Gigi Bohling,Canada   ,70% Dark Bites,13/4/2023,$554 ,271
Van Tuxwell,USA  ,50% Dark Bites,13/4/2023,"$7,814 ",846
Marney O'Breen,Australia,50% Dark Bites,13/4/2023,"$10,690 ",52
Marney O'Breen,New Zealand,Smooth Silky Salty,13/4/2023,"$3,263 ",37
Husein Augar,UK   ,Caramel Stuffed Bars,13/4/2023,"$1,512 ",40
Beverie Moffet,India,Eclairs,13/4/2023,"$4,950 ",280
Barr Faughny,Canada   ,Smooth Silky Salty,13/4/2023,$0 ,157
Gigi Bohling,USA   ,Eclairs,13/4/2023,"$5,488 ",194
Dennison Crosswaite,Canada   ,Fruit & Nut Bars,13/4/2023,"$7,063 ",275
Marney O'Breen,UK  ,Fruit & Nut Bars,13/4/2023,"$5,648 ",143
Curtice Advani,Canada,70% Dark Bites,13/4/2023,"$3,575 ",24
Marney O'Breen,India ,Drinking Coco,13/4/2023,"$5,391 ",756
Gigi Bohling,USA,Choco Coated Almonds,13/4/2023,"$4,993 ",380
Curtice Advani,Canada   ,Almond Choco,13/4/2023,"$4,547 ",517
Dennison Crosswaite,USA   ,99% Dark & Pure,13/4/2023,"$3,697 ",291
Gunar Cockshoot,New Zealand   ,Milk Bars,13/4/2023,"$14,722 ",100
Wilone O'Kielt,India   ,Mint Chip Choco,14/4/2023,$416 ,318
Barr Faughny,USA   ,70% Dark Bites,14/4/2023,"$6,766 ",396
Gigi Bohling,USA  ,Eclairs,14/4/2023,"$6,435 ",129
Brien Boise,USA   ,Eclairs,14/4/2023,"$6,246 ",231
Kelci Walkden,Australia,White Choc,14/4/2023,"$6,354 ",268
Kaine Padly,Canada  ,50% Dark Bites,14/4/2023,"$6,928 ",107
Camilla Castle,Australia ,Raspberry Choco,14/4/2023,"$10,888 ",661
Karlen McCaffrey,UK   ,70% Dark Bites,14/4/2023,$628 ,319
Jehu Rudeforth,USA,Organic Choco Syrup,14/4/2023,"$4,075 ",973
Karlen McCaffrey,USA,Choco Coated Almonds,14/4/2023,"$4,284 ",71
Jan Morforth,USA  ,70% Dark Bites,14/4/2023,$491 ,658
Dotty Strutley,New Zealand   ,Almond Choco,14/4/2023,"$6,287 ",401
Madelene Upcott,USA   ,Smooth Silky Salty,14/4/2023,"$5,204 ",195
Dotty Strutley,India ,Smooth Silky Salty,14/4/2023,"$4,070 ",632
Madelene Upcott,Canada ,Caramel Stuffed Bars,14/4/2023,"$11,178 ",509
Madelene Upcott,Canada  ,Peanut Butter Cubes,14/4/2023,"$9,929 ",26
Dennison Crosswaite,India   ,White Choc,14/4/2023,"$7,742 ",618
Madelene Upcott,USA   ,Fruit & Nut Bars,14/4/2023,"$6,188 ",155
Wilone O'Kielt,UK  ,Milk Bars,14/4/2023,"$4,232 ",143
Van Tuxwell,New Zealand   ,Spicy Special Slims,14/4/2023,"$1,242 ",162
Wilone O'Kielt,New Zealand  ,Almond Choco,14/4/2023,"$16,758 ",647
Jan Morforth,New Zealand ,Manuka Honey Choco,17/4/2023,"$14,468 ",24
Beverie Moffet,India ,99% Dark & Pure,17/4/2023,"$10,944 ",74
Rafaelita Blaksland,USA   ,Almond Choco,17/4/2023,"$3,717 ",422
Karlen McCaffrey,India,Orange Choco,17/4/2023,"$9,612 ",328
Gigi Bohling,UK ,Caramel Stuffed Bars,17/4/2023,"$12,395 ",439
Curtice Advani,USA ,Choco Coated Almonds,17/4/2023,"$4,068 ",458
Van Tuxwell,Australia   ,Organic Choco Syrup,17/4/2023,"$4,394 ",26
Kaine Padly,Canada   ,70% Dark Bites,17/4/2023,"$1,037 ",394
Barr Faughny,Australia,Manuka Honey Choco,17/4/2023,"$14,099 ",518
Husein Augar,Canada   ,Fruit & Nut Bars,17/4/2023,"$6,487 ",663
Husein Augar,New Zealand ,Manuka Honey Choco,17/4/2023,$979 ,33
Karlen McCaffrey,UK  ,Mint Chip Choco,17/4/2023,"$1,931 ",341
Mallorie Waber,New Zealand   ,Fruit & Nut Bars,17/4/2023,"$4,012 ",398
Husein Augar,New Zealand,Peanut Butter Cubes,18/4/2023,"$4,118 ",233
Husein Augar,USA  ,Eclairs,18/4/2023,"$1,989 ",2
Roddy Speechley,UK  ,Fruit & Nut Bars,18/4/2023,"$11,853 ",850
Gigi Bohling,Australia ,Caramel Stuffed Bars,18/4/2023,"$1,406 ",802
Ches Bonnell,Australia  ,50% Dark Bites,18/4/2023,"$4,050 ",379
Mallorie Waber,Canada  ,Raspberry Choco,18/4/2023,$313 ,602
Beverie Moffet,Canada   ,Peanut Butter Cubes,18/4/2023,"$4,559 ",149
Rafaelita Blaksland,Canada  ,Mint Chip Choco,18/4/2023,"$1,485 ",261
Dotty Strutley,UK ,Orange Choco,18/4/2023,"$4,073 ",563
Camilla Castle,UK,Manuka Honey Choco,19/4/2023,"$5,852 ",369
Gigi Bohling,India  ,Mint Chip Choco,19/4/2023,"$7,936 ",69
Wilone O'Kielt,Australia   ,Fruit & Nut Bars,19/4/2023,"$3,251 ",503
Barr Faughny,Canada,Manuka Honey Choco,19/4/2023,$574 ,398
Andria Kimpton,Canada   ,White Choc,19/4/2023,"$4,604 ",107
Beverie Moffet,USA ,Almond Choco,19/4/2023,"$7,110 ",591
Ches Bonnell,Australia  ,Smooth Silky Salty,19/4/2023,"$9,799 ",799
Dennison Crosswaite,New Zealand   ,Drinking Coco,19/4/2023,"$4,682 ",53
Husein Augar,New Zealand  ,Spicy Special Slims,19/4/2023,"$2,959 ",432
Dennison Crosswaite,New Zealand   ,70% Dark Bites,19/4/2023,"$5,036 ",162
Gigi Bohling,UK ,After Nines,19/4/2023,"$5,927 ",608
Roddy Speechley,USA,Spicy Special Slims,19/4/2023,"$2,408 ",613
Kaine Padly,New Zealand  ,Spicy Special Slims,19/4/2023,"$7,994 ",122
Brien Boise,USA,Fruit & Nut Bars,19/4/2023,"$5,105 ",77
Andria Kimpton,Canada   ,Drinking Coco,19/4/2023,"$5,006 ",30
Karlen McCaffrey,Canada   ,Spicy Special Slims,19/4/2023,"$4,896 ",464
Brien Boise,India ,50% Dark Bites,19/4/2023,"$8,964 ",235
Oby Sorrel,USA,White Choc,19/4/2023,"$6,185 ",402
Dennison Crosswaite,Canada  ,Spicy Special Slims,19/4/2023,"$3,978 ",386
Barr Faughny,UK,Baker's Choco Chips,19/4/2023,"$2,192 ",331
Rafaelita Blaksland,USA   ,Drinking Coco,19/4/2023,"$9,407 ",678
Gigi Bohling,New Zealand  ,99% Dark & Pure,19/4/2023,"$11,835 ",213
Marney O'Breen,India ,Peanut Butter Cubes,19/4/2023,"$8,048 ",195
Jan Morforth,Australia  ,After Nines,19/4/2023,$398 ,379
Brien Boise,New Zealand   ,85% Dark Bars,19/4/2023,"$2,783 ",170
Beverie Moffet,Canada,50% Dark Bites,19/4/2023,$356 ,193
Rafaelita Blaksland,India,70% Dark Bites,19/4/2023,"$3,652 ",336
Karlen McCaffrey,Australia,Caramel Stuffed Bars,19/4/2023,"$3,546 ",1095
Ches Bonnell,Australia   ,After Nines,19/4/2023,"$4,914 ",259
Kelci Walkden,India,Fruit & Nut Bars,19/4/2023,"$7,409 ",611
Mallorie Waber,USA ,Milk Bars,19/4/2023,$554 ,6
Barr Faughny,India ,Caramel Stuffed Bars,19/4/2023,"$7,452 ",563
Karlen McCaffrey,New Zealand ,99% Dark & Pure,19/4/2023,"$5,864 ",70
Camilla Castle,New Zealand   ,After Nines,19/4/2023,"$7,562 ",294
Husein Augar,UK ,Drinking Coco,19/4/2023,"$6,230 ",14
Curtice Advani,Australia ,Orange Choco,19/4/2023,"$2,610 ",291
Jehu Rudeforth,USA ,Peanut Butter Cubes,19/4/2023,"$8,800 ",587
Madelene Upcott,UK ,Spicy Special Slims,19/4/2023,"$3,767 ",81
Beverie Moffet,India,After Nines,20/4/2023,"$11,975 ",242
Roddy Speechley,New Zealand  ,85% Dark Bars,20/4/2023,"$6,498 ",44
Andria Kimpton,Canada  ,Manuka Honey Choco,20/4/2023,"$4,050 ",238
Karlen McCaffrey,UK,Drinking Coco,20/4/2023,"$4,838 ",110
Ches Bonnell,New Zealand  ,70% Dark Bites,20/4/2023,"$5,369 ",127
Andria Kimpton,UK  ,99% Dark & Pure,20/4/2023,"$4,973 ",64
Gigi Bohling,USA ,White Choc,20/4/2023,"$3,211 ",126
Wilone O'Kielt,India ,Peanut Butter Cubes,20/4/2023,"$3,636 ",89
Brien Boise,UK,Manuka Honey Choco,20/4/2023,"$3,609 ",62
Barr Faughny,Canada ,Milk Bars,20/4/2023,"$4,079 ",570
Curtice Advani,Australia   ,Fruit & Nut Bars,20/4/2023,"$3,344 ",228
Camilla Castle,Australia  ,99% Dark & Pure,21/4/2023,"$7,713 ",261
Camilla Castle,USA  ,Smooth Silky Salty,21/4/2023,"$1,400 ",193
Rafaelita Blaksland,USA  ,Baker's Choco Chips,21/4/2023,"$6,732 ",563
Rafaelita Blaksland,Canada   ,Choco Coated Almonds,21/4/2023,"$5,546 ",307
Barr Faughny,Canada  ,Organic Choco Syrup,21/4/2023,"$15,145 ",85
Kaine Padly,Canada ,Raspberry Choco,21/4/2023,"$12,395 ",1050
Barr Faughny,Canada   ,99% Dark & Pure,21/4/2023,"$2,468 ",465
Dotty Strutley,UK ,Raspberry Choco,21/4/2023,"$4,541 ",563
Wilone O'Kielt,Australia   ,50% Dark Bites,21/4/2023,"$3,285 ",469
Brien Boise,India ,Smooth Silky Salty,21/4/2023,"$10,161 ",524
Kelci Walkden,USA   ,70% Dark Bites,21/4/2023,"$3,299 ",166
Oby Sorrel,India,Milk Bars,21/4/2023,"$4,183 ",147
Kelci Walkden,New Zealand  ,Mint Chip Choco,21/4/2023,$907 ,259
Mallorie Waber,Australia ,Orange Choco,21/4/2023,"$2,171 ",1166
Ches Bonnell,Australia ,Choco Coated Almonds,21/4/2023,"$1,958 ",208
Rafaelita Blaksland,USA   ,50% Dark Bites,21/4/2023,"$1,485 ",163
Rafaelita Blaksland,USA ,Manuka Honey Choco,21/4/2023,$844 ,152
Husein Augar,USA ,Fruit & Nut Bars,21/4/2023,"$13,021 ",166
Andria Kimpton,UK,Organic Choco Syrup,21/4/2023,"$3,177 ",59
Gigi Bohling,UK  ,Raspberry Choco,21/4/2023,$434 ,284
Rafaelita Blaksland,New Zealand   ,Smooth Silky Salty,21/4/2023,"$11,898 ",52
Jan Morforth,New Zealand ,Peanut Butter Cubes,24/4/2023,"$1,933 ",1000
Jehu Rudeforth,USA  ,Almond Choco,24/4/2023,"$2,941 ",826
Andria Kimpton,Australia  ,99% Dark & Pure,24/4/2023,"$9,392 ",100
Gigi Bohling,Canada ,White Choc,24/4/2023,"$3,854 ",340
Husein Augar,UK  ,50% Dark Bites,24/4/2023,"$3,148 ",1420
Ches Bonnell,UK   ,Peanut Butter Cubes,24/4/2023,"$4,469 ",154
Dennison Crosswaite,USA   ,Peanut Butter Cubes,24/4/2023,"$3,771 ",199
Wilone O'Kielt,Canada ,Eclairs,24/4/2023,"$3,159 ",21
Kelci Walkden,Canada   ,Drinking Coco,24/4/2023,"$4,032 ",16
Brien Boise,New Zealand,70% Dark Bites,24/4/2023,"$3,564 ",815
Mallorie Waber,Canada  ,Raspberry Choco,24/4/2023,"$3,980 ",73
Rafaelita Blaksland,New Zealand,Milk Bars,24/4/2023,"$9,405 ",497
Beverie Moffet,India ,White Choc,24/4/2023,"$10,114 ",276
Wilone O'Kielt,Canada ,Drinking Coco,24/4/2023,"$5,877 ",490
Beverie Moffet,USA  ,Organic Choco Syrup,24/4/2023,"$3,733 ",535
Wilone O'Kielt,UK,70% Dark Bites,24/4/2023,"$5,906 ",269
Andria Kimpton,Australia  ,Drinking Coco,24/4/2023,"$3,623 ",980
Husein Augar,USA  ,Milk Bars,24/4/2023,$333 ,371
Oby Sorrel,USA,50% Dark Bites,25/4/2023,"$7,702 ",1596
Ches Bonnell,Australia   ,Peanut Butter Cubes,25/4/2023,"$7,727 ",587
Barr Faughny,New Zealand,70% Dark Bites,25/4/2023,"$6,293 ",207
Wilone O'Kielt,Canada ,99% Dark & Pure,25/4/2023,"$5,978 ",107
Beverie Moffet,Canada   ,Orange Choco,25/4/2023,"$13,077 ",667
Camilla Castle,Canada   ,Raspberry Choco,25/4/2023,"$1,069 ",793
Mallorie Waber,USA   ,Manuka Honey Choco,25/4/2023,"$4,214 ",204
Karlen McCaffrey,USA,Milk Bars,25/4/2023,"$4,010 ",255
Camilla Castle,India,99% Dark & Pure,25/4/2023,"$1,024 ",175
Kaine Padly,Australia,Mint Chip Choco,25/4/2023,"$3,227 ",6
Curtice Advani,UK   ,Orange Choco,25/4/2023,"$4,183 ",700
Karlen McCaffrey,Canada   ,After Nines,25/4/2023,"$6,653 ",353
Madelene Upcott,USA   ,Almond Choco,25/4/2023,"$3,470 ",332
Kaine Padly,Canada  ,Peanut Butter Cubes,25/4/2023,"$9,486 ",66
Ches Bonnell,UK   ,Organic Choco Syrup,25/4/2023,$311 ,96
Wilone O'Kielt,Canada  ,White Choc,25/4/2023,"$6,507 ",267
Barr Faughny,UK  ,85% Dark Bars,25/4/2023,"$6,023 ",469
Dennison Crosswaite,Canada   ,Eclairs,25/4/2023,"$5,985 ",170
Andria Kimpton,India,70% Dark Bites,25/4/2023,"$2,961 ",445
Gunar Cockshoot,Australia,Almond Choco,25/4/2023,"$9,788 ",362
Ches Bonnell,UK ,Mint Chip Choco,25/4/2023,$574 ,109
Jan Morforth,USA ,Smooth Silky Salty,25/4/2023,$560 ,369
Marney O'Breen,New Zealand  ,Orange Choco,25/4/2023,"$3,803 ",421
Mallorie Waber,Canada   ,Eclairs,25/4/2023,"$5,497 ",342
Jan Morforth,Australia  ,Fruit & Nut Bars,25/4/2023,"$11,945 ",173
Jehu Rudeforth,New Zealand   ,After Nines,25/4/2023,"$11,189 ",304
Curtice Advani,India ,Choco Coated Almonds,25/4/2023,$329 ,427
Husein Augar,Canada  ,Smooth Silky Salty,25/4/2023,"$6,395 ",68
Wilone O'Kielt,UK  ,After Nines,25/4/2023,"$4,187 ",159
Rafaelita Blaksland,Canada   ,Choco Coated Almonds,25/4/2023,"$1,712 ",436
Mallorie Waber,UK ,Eclairs,25/4/2023,"$3,366 ",607
Rafaelita Blaksland,Canada   ,Baker's Choco Chips,25/4/2023,"$1,872 ",32
Rafaelita Blaksland,Canada ,50% Dark Bites,25/4/2023,"$8,039 ",173
Gigi Bohling,Canada ,Drinking Coco,26/4/2023,"$7,700 ",415
Beverie Moffet,New Zealand,Manuka Honey Choco,26/4/2023,"$3,645 ",9
Wilone O'Kielt,USA   ,Smooth Silky Salty,26/4/2023,"$2,464 ",183
Kelci Walkden,UK,Peanut Butter Cubes,26/4/2023,"$10,647 ",394
Jan Morforth,New Zealand  ,Mint Chip Choco,26/4/2023,$50 ,340
Oby Sorrel,UK ,Caramel Stuffed Bars,26/4/2023,"$7,652 ",1200
Husein Augar,New Zealand   ,Orange Choco,26/4/2023,"$8,714 ",147
Dennison Crosswaite,Canada ,70% Dark Bites,26/4/2023,"$1,481 ",190
Jehu Rudeforth,Australia,Peanut Butter Cubes,26/4/2023,"$5,337 ",282
Wilone O'Kielt,Canada   ,Smooth Silky Salty,26/4/2023,$77 ,63
Gunar Cockshoot,UK  ,70% Dark Bites,26/4/2023,"$4,001 ",1571
Kaine Padly,New Zealand,After Nines,26/4/2023,"$8,006 ",307
Beverie Moffet,New Zealand,Milk Bars,26/4/2023,$9 ,206
Jan Morforth,Australia,70% Dark Bites,26/4/2023,$371 ,648
Brien Boise,UK   ,Organic Choco Syrup,26/4/2023,"$10,782 ",69
Andria Kimpton,India  ,85% Dark Bars,27/4/2023,"$4,082 ",554
Curtice Advani,USA ,Raspberry Choco,27/4/2023,"$2,642 ",227
Kelci Walkden,Canada   ,Milk Bars,27/4/2023,$137 ,18
Dennison Crosswaite,UK ,Peanut Butter Cubes,27/4/2023,"$8,555 ",43
Curtice Advani,Canada   ,Orange Choco,27/4/2023,"$5,459 ",552
Ches Bonnell,New Zealand   ,Choco Coated Almonds,27/4/2023,"$1,607 ",391
Barr Faughny,Australia,Baker's Choco Chips,27/4/2023,"$12,049 ",2
Brien Boise,New Zealand,After Nines,27/4/2023,"$11,156 ",679
Karlen McCaffrey,India   ,Raspberry Choco,27/4/2023,"$5,747 ",758
Roddy Speechley,USA ,White Choc,27/4/2023,"$2,448 ",234
Kaine Padly,USA  ,Orange Choco,27/4/2023,"$2,540 ",284
Gigi Bohling,New Zealand   ,Fruit & Nut Bars,27/4/2023,"$7,844 ",446
Wilone O'Kielt,New Zealand  ,White Choc,27/4/2023,"$5,470 ",402
Marney O'Breen,UK ,Drinking Coco,27/4/2023,"$4,502 ",468
Ches Bonnell,Canada,70% Dark Bites,27/4/2023,"$4,651 ",651
Gunar Cockshoot,India ,Manuka Honey Choco,27/4/2023,"$11,336 ",398
Brien Boise,UK  ,Choco Coated Almonds,27/4/2023,"$2,489 ",130
Barr Faughny,New Zealand  ,Choco Coated Almonds,27/4/2023,"$2,237 ",478
Dotty Strutley,New Zealand  ,70% Dark Bites,27/4/2023,"$1,901 ",573
Ches Bonnell,USA  ,50% Dark Bites,27/4/2023,"$1,514 ",293
Kelci Walkden,India,Drinking Coco,27/4/2023,"$5,355 ",639
Gigi Bohling,India  ,Peanut Butter Cubes,27/4/2023,"$6,086 ",407
Husein Augar,USA  ,Spicy Special Slims,27/4/2023,"$6,289 ",224
Jehu Rudeforth,USA ,After Nines,27/4/2023,"$4,532 ",562
Curtice Advani,UK,Organic Choco Syrup,27/4/2023,"$13,403 ",128
Dennison Crosswaite,Canada,Smooth Silky Salty,27/4/2023,"$15,255 ",73
Marney O'Breen,UK   ,Caramel Stuffed Bars,27/4/2023,"$9,473 ",33
Ches Bonnell,New Zealand ,Choco Coated Almonds,27/4/2023,"$1,044 ",294
Jehu Rudeforth,UK,Almond Choco,27/4/2023,"$2,876 ",139
Barr Faughny,UK  ,White Choc,27/4/2023,$77 ,613
Van Tuxwell,Australia   ,Spicy Special Slims,27/4/2023,"$1,577 ",153
Rafaelita Blaksland,New Zealand   ,Spicy Special Slims,28/4/2023,"$4,847 ",300
Dotty Strutley,Canada   ,Drinking Coco,28/4/2023,"$6,993 ",867
Rafaelita Blaksland,Australia ,Fruit & Nut Bars,28/4/2023,"$5,060 ",1041
Kaine Padly,USA  ,Manuka Honey Choco,28/4/2023,"$5,670 ",36
Camilla Castle,Canada ,Orange Choco,28/4/2023,"$13,797 ",257
Gunar Cockshoot,Canada,Mint Chip Choco,28/4/2023,"$10,967 ",94
Wilone O'Kielt,Canada   ,50% Dark Bites,28/4/2023,"$10,843 ",9
Madelene Upcott,Australia   ,Choco Coated Almonds,28/4/2023,"$4,082 ",511
Gunar Cockshoot,Canada  ,Smooth Silky Salty,28/4/2023,"$1,924 ",22
Jehu Rudeforth,UK  ,Manuka Honey Choco,28/4/2023,"$3,645 ",123
Roddy Speechley,UK ,Raspberry Choco,28/4/2023,"$2,203 ",282
Karlen McCaffrey,Canada   ,Orange Choco,28/4/2023,$695 ,595
